,id,genre_name,original_language,original_title,release_year,vote_average,studio_name
242,270,['Documentary'],en,a brief history of time,1991,7.4,National Broadcasting Company
243,271,['Action'],en,showdown in little tokyo,1991,6.3,Warner Bros. Pictures
244,272,"['Drama', 'Romance']",en,proof,1991,6.7,Australian Film Commission
245,273,"['Comedy', 'Romance']",en,married to it,1991,6.2,Orion Pictures
246,274,"['Comedy', 'Drama']",en,night on earth,1991,7.6,Pandora Film
247,278,"['Drama', 'Fantasy']",en,prospero's books,1991,6.9,Cinéa
248,280,"['Action', 'Thriller']",en,company business,1991,5.3,Metro-Goldwyn-Mayer
249,281,"['Drama', 'Romance']",en,at play in the fields of the lord,1991,6.5,Universal Pictures
250,282,['Documentary'],en,hearts of darkness: a filmmaker's apocalypse,1991,7.9,American Zoetrope
251,283,"['Mystery', 'Drama']",en,the rapture,1991,6.0,Fine Line Features
252,284,"['Action', 'Adventure']",en,kickboxer 2: the road back,1991,5.5,Kings Road Entertainment
253,286,"['Comedy', 'Drama']",en,slacker,1991,6.7,Detour Filmproduction
254,287,"['Action', 'Thriller', 'Romance']",en,year of the gun,1991,4.9,J&M Entertainment
255,289,['Drama'],en,whore,1991,5.3,Trimark Pictures
256,290,"['Comedy', 'Drama', 'Romance']",en,meeting venus,1991,6.1,Warner Bros. Pictures
257,291,['Comedy'],en,talkin' dirty after dark,1991,4.0,New Line Cinema
258,292,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",en,beastmaster 2: through the portal of time,1991,5.0,Les Films 21
259,293,"['History', 'Romance', 'Drama']",en,edward ii,1991,6.3,BBC Films
260,295,"['Drama', 'Horror', 'Science Fiction']",en,poison,1991,6.3,Poison L.P.
261,296,"['Drama', 'Romance']",en,wild orchid ii: two shades of blue,1991,5.5,Vision PDG
262,299,['Drama'],en,true colors,1991,6.4,Paramount
263,300,"['Family', 'Science Fiction', 'Comedy']",en,and you thought your parents were weird,1991,5.1,Panorama Film International
264,301,"['Comedy', 'Drama', 'Romance']",en,dogfight,1991,6.9,Warner Bros. Pictures
265,303,"['Comedy', 'Romance']",en,sweet talker,1991,4.8,Carolco Pictures
266,304,"['Drama', 'Music']",en,dingo,1991,5.7,Vertigo Productions
267,305,"['Comedy', 'Drama']",en,riff-raff,1991,6.8,Parallax Pictures
268,306,['Comedy'],en,big girls don't cry... they get even,1991,6.1,New Line Cinema
269,308,"['Drama', 'Thriller']",en,closet land,1991,6.7,Imagine Entertainment
270,309,"['Drama', 'Comedy']",en,twenty-one,1991,5.4,Anglo International Films
271,310,"['Crime', 'Thriller']",en,under suspicion,1991,5.8,Columbia Pictures
272,312,['Drama'],en,the indian runner,1991,6.7,Metro-Goldwyn-Mayer
273,313,"['Comedy', 'Drama', 'Mystery', 'Romance']",en,the ballad of the sad cafe,1991,5.7,Channel Four Films
274,315,['Drama'],en,eminent domain,1991,5.9,UGC Images
275,318,"['Drama', 'Romance']",en,close my eyes,1991,6.1,Film4 Productions
276,319,"['Comedy', 'Crime']",en,shakes the clown,1991,5.6,IRS Media
277,320,"['Crime', 'Thriller']",en,medium rare,1991,0.0,Derrol Stepenny Productions
278,321,['Drama'],en,december bride,1991,6.3,Channel Four Films
279,322,"['Science Fiction', 'Action']",en,timebomb,1991,5.3,Metro-Goldwyn-Mayer
280,323,"['Drama', 'Mystery', 'Music']",en,young soul rebels,1991,4.5,BFI
281,324,['Animation'],en,slow bob in the lower dimensions,1991,7.0,MTV Networks
282,325,"['Thriller', 'Crime', 'Drama']",en,diary of a hitman,1991,5.3,Vision International
283,326,"['Romance', 'Drama']",en,crooked hearts,1991,6.1,Metro-Goldwyn-Mayer
284,328,"['Fantasy', 'Action', 'Comedy', 'Horror']",en,highway to hell,1991,6.0,Hemdale Film Corporation
285,330,"['Animation', 'Family', 'Adventure', 'Fantasy', 'Romance']",en,aladdin,1992,7.6,Walt Disney Pictures
286,331,"['Thriller', 'Action', 'Drama', 'Music', 'Romance']",en,the bodyguard,1992,6.7,Warner Bros. Pictures
287,332,"['Comedy', 'Family', 'Adventure']",en,home alone 2: lost in new york,1992,6.7,20th Century Fox
288,333,"['Thriller', 'Mystery']",en,basic instinct,1992,6.9,Carolco Pictures
289,334,"['Adventure', 'Action', 'Comedy', 'Thriller', 'Crime']",en,lethal weapon 3,1992,6.7,Warner Bros. Pictures
290,335,"['Action', 'Fantasy']",en,batman returns,1992,6.9,Warner Bros. Pictures
291,336,['Drama'],en,a few good men,1992,7.5,David Brown Productions
292,337,"['Music', 'Comedy']",en,sister act,1992,6.8,Touchwood Pacific Partners 1
293,338,"['Romance', 'Horror']",en,bram stoker's dracula,1992,7.4,Columbia Pictures
294,339,"['Comedy', 'Music']",en,wayne's world,1992,6.7,Paramount
295,340,"['Drama', 'Action', 'Thriller', 'Crime']",en,patriot games,1992,6.7,Paramount
296,341,"['Science Fiction', 'Action', 'Horror']",en,alien³,1992,6.4,20th Century Fox
297,342,['Western'],en,unforgiven,1992,7.9,Malpaso Productions
298,343,"['Action', 'Thriller']",en,under siege,1992,6.3,Canal+
299,344,"['Comedy', 'Fantasy', 'Horror']",en,death becomes her,1992,6.8,Universal Pictures
300,345,"['Family', 'Comedy']",en,beethoven,1992,5.8,Universal Pictures
301,346,"['Adventure', 'Drama', 'Romance', 'Western']",en,far and away,1992,6.7,Imagine Entertainment
302,347,['Drama'],en,scent of a woman,1992,7.7,Universal Pictures
303,348,"['Comedy', 'Drama']",en,a league of their own,1992,7.2,Columbia Pictures
304,349,"['Adventure', 'Fantasy', 'Drama', 'Science Fiction', 'Romance']",en,forever young,1992,6.5,Warner Bros. Pictures
305,350,"['Comedy', 'Crime', 'Drama']",en,sneakers,1992,6.9,Universal Pictures
306,351,"['Comedy', 'Drama']",en,white men can't jump,1992,6.6,20th Century Fox
307,352,"['Drama', 'Thriller']",en,the hand that rocks the cradle,1992,6.9,Hollywood Pictures
